,gender,age,sibsp,parch,fare,class,who,adult_male,embark_town,alive,alone,family_size
176,male,31,3,1,25.4667,Third,man,TRUE,Southampton,no,FALSE,4
177,female,50,0,0,28.7125,First,woman,FALSE,Cherbourg,no,TRUE,0
178,male,30,0,0,13,Second,man,TRUE,Southampton,no,TRUE,0
179,male,36,0,0,0,Third,man,TRUE,Southampton,no,TRUE,0
180,female,28,8,2,69.55,Third,woman,FALSE,Southampton,no,FALSE,10
181,male,31,0,0,15.05,Second,man,TRUE,Cherbourg,no,TRUE,0
182,male,9,4,2,31.3875,Third,child,FALSE,Southampton,no,FALSE,6
183,male,1,2,1,39,Second,child,FALSE,Southampton,yes,FALSE,3
184,female,4,0,2,22.025,Third,child,FALSE,Southampton,yes,FALSE,2
185,male,31,0,0,50,First,man,TRUE,Southampton,no,TRUE,0
186,female,28,1,0,15.5,Third,woman,FALSE,Queenstown,yes,FALSE,1
187,male,45,0,0,26.55,First,man,TRUE,Southampton,yes,TRUE,0
188,male,40,1,1,15.5,Third,man,TRUE,Queenstown,no,FALSE,2
189,male,36,0,0,7.8958,Third,man,TRUE,Southampton,no,TRUE,0
190,female,32,0,0,13,Second,woman,FALSE,Southampton,yes,TRUE,0
191,male,19,0,0,13,Second,man,TRUE,Southampton,no,TRUE,0
192,female,19,1,0,7.8542,Third,woman,FALSE,Southampton,yes,FALSE,1
193,male,3,1,1,26,Second,child,FALSE,Southampton,yes,FALSE,2
194,female,44,0,0,27.7208,First,woman,FALSE,Cherbourg,yes,TRUE,0
195,female,58,0,0,146.5208,First,woman,FALSE,Cherbourg,yes,TRUE,0
196,male,31,0,0,7.75,Third,man,TRUE,Queenstown,no,TRUE,0
197,male,42,0,1,8.4042,Third,man,TRUE,Southampton,no,FALSE,1
198,female,28,0,0,7.75,Third,woman,FALSE,Queenstown,yes,TRUE,0
199,female,24,0,0,13,Second,woman,FALSE,Southampton,no,TRUE,0
200,male,28,0,0,9.5,Third,man,TRUE,Southampton,no,TRUE,0
201,male,31,8,2,69.55,Third,man,TRUE,Southampton,no,FALSE,10
202,male,34,0,0,6.4958,Third,man,TRUE,Southampton,no,TRUE,0
203,male,45.5,0,0,7.225,Third,man,TRUE,Cherbourg,no,TRUE,0
204,male,18,0,0,8.05,Third,man,TRUE,Southampton,yes,TRUE,0
205,female,2,0,1,10.4625,Third,child,FALSE,Southampton,no,FALSE,1
206,male,32,1,0,15.85,Third,man,TRUE,Southampton,no,FALSE,1
207,male,26,0,0,18.7875,Third,man,TRUE,Cherbourg,yes,TRUE,0
208,female,16,0,0,7.75,Third,woman,FALSE,Queenstown,yes,TRUE,0
209,male,40,0,0,31,First,man,TRUE,Cherbourg,yes,TRUE,0
210,male,24,0,0,7.05,Third,man,TRUE,Southampton,no,TRUE,0
211,female,35,0,0,21,Second,woman,FALSE,Southampton,yes,TRUE,0
212,male,22,0,0,7.25,Third,man,TRUE,Southampton,no,TRUE,0
213,male,30,0,0,13,Second,man,TRUE,Southampton,no,TRUE,0
214,male,31,1,0,7.75,Third,man,TRUE,Queenstown,no,FALSE,1
215,female,31,1,0,113.275,First,woman,FALSE,Cherbourg,yes,FALSE,1
216,female,27,0,0,7.925,Third,woman,FALSE,Southampton,yes,TRUE,0
217,male,42,1,0,27,Second,man,TRUE,Southampton,no,FALSE,1
218,female,32,0,0,76.2917,First,woman,FALSE,Cherbourg,yes,TRUE,0
219,male,30,0,0,10.5,Second,man,TRUE,Southampton,no,TRUE,0
220,male,16,0,0,8.05,Third,man,TRUE,Southampton,yes,TRUE,0
221,male,27,0,0,13,Second,man,TRUE,Southampton,no,TRUE,0
222,male,51,0,0,8.05,Third,man,TRUE,Southampton,no,TRUE,0
223,male,31,0,0,7.8958,Third,man,TRUE,Southampton,no,TRUE,0
224,male,38,1,0,90,First,man,TRUE,Southampton,yes,FALSE,1
225,male,22,0,0,9.35,Third,man,TRUE,Southampton,no,TRUE,0
226,male,19,0,0,10.5,Second,man,TRUE,Southampton,yes,TRUE,0
227,male,20.5,0,0,7.25,Third,man,TRUE,Southampton,no,TRUE,0
228,male,18,0,0,13,Second,man,TRUE,Southampton,no,TRUE,0
229,female,28,3,1,25.4667,Third,woman,FALSE,Southampton,no,FALSE,4
230,female,35,1,0,83.475,First,woman,FALSE,Southampton,yes,FALSE,1
231,male,29,0,0,7.775,Third,man,TRUE,Southampton,no,TRUE,0
232,male,59,0,0,13.5,Second,man,TRUE,Southampton,no,TRUE,0
233,female,5,4,2,31.3875,Third,child,FALSE,Southampton,yes,FALSE,6
234,male,24,0,0,10.5,Second,man,TRUE,Southampton,no,TRUE,0
235,female,28,0,0,7.55,Third,woman,FALSE,Southampton,no,TRUE,0
236,male,44,1,0,26,Second,man,TRUE,Southampton,no,FALSE,1
237,female,8,0,2,26.25,Second,child,FALSE,Southampton,yes,FALSE,2
238,male,19,0,0,10.5,Second,man,TRUE,Southampton,no,TRUE,0
239,male,33,0,0,12.275,Second,man,TRUE,Southampton,no,TRUE,0
240,female,28,1,0,14.4542,Third,woman,FALSE,Cherbourg,no,FALSE,1
241,female,28,1,0,15.5,Third,woman,FALSE,Queenstown,yes,FALSE,1
242,male,29,0,0,10.5,Second,man,TRUE,Southampton,no,TRUE,0
243,male,22,0,0,7.125,Third,man,TRUE,Southampton,no,TRUE,0
244,male,30,0,0,7.225,Third,man,TRUE,Cherbourg,no,TRUE,0
245,male,44,2,0,90,First,man,TRUE,Queenstown,no,FALSE,2
246,female,25,0,0,7.775,Third,woman,FALSE,Southampton,no,TRUE,0
247,female,24,0,2,14.5,Second,woman,FALSE,Southampton,yes,FALSE,2
248,male,37,1,1,52.5542,First,man,TRUE,Southampton,yes,FALSE,2
249,male,54,1,0,26,Second,man,TRUE,Southampton,no,FALSE,1
250,male,31,0,0,7.25,Third,man,TRUE,Southampton,no,TRUE,0
251,female,29,1,1,10.4625,Third,woman,FALSE,Southampton,no,FALSE,2
252,male,62,0,0,26.55,First,man,TRUE,Southampton,no,TRUE,0
253,male,30,1,0,16.1,Third,man,TRUE,Southampton,no,FALSE,1
254,female,41,0,2,20.2125,Third,woman,FALSE,Southampton,no,FALSE,2
255,female,29,0,2,15.2458,Third,woman,FALSE,Cherbourg,yes,FALSE,2
256,female,28,0,0,79.2,First,woman,FALSE,Cherbourg,yes,TRUE,0
257,female,30,0,0,86.5,First,woman,FALSE,Southampton,yes,TRUE,0
258,female,35,0,0,512.3292,First,woman,FALSE,Cherbourg,yes,TRUE,0
259,female,50,0,1,26,Second,woman,FALSE,Southampton,yes,FALSE,1
260,male,31,0,0,7.75,Third,man,TRUE,Queenstown,no,TRUE,0
261,male,3,4,2,31.3875,Third,child,FALSE,Southampton,yes,FALSE,6
262,male,52,1,1,79.65,First,man,TRUE,Southampton,no,FALSE,2
263,male,40,0,0,0,First,man,TRUE,Southampton,no,TRUE,0
264,female,28,0,0,7.75,Third,woman,FALSE,Queenstown,no,TRUE,0
265,male,36,0,0,10.5,Second,man,TRUE,Southampton,no,TRUE,0
266,male,16,4,1,39.6875,Third,man,TRUE,Southampton,no,FALSE,5
267,male,25,1,0,7.775,Third,man,TRUE,Southampton,yes,FALSE,1
268,female,58,0,1,153.4625,First,woman,FALSE,Southampton,yes,FALSE,1
269,female,35,0,0,135.6333,First,woman,FALSE,Southampton,yes,TRUE,0
270,male,31,0,0,31,First,man,TRUE,Southampton,no,TRUE,0
271,male,25,0,0,0,Third,man,TRUE,Southampton,yes,TRUE,0
272,female,41,0,1,19.5,Second,woman,FALSE,Southampton,yes,FALSE,1
273,male,37,0,1,29.7,First,man,TRUE,Cherbourg,no,FALSE,1
274,female,28,0,0,7.75,Third,woman,FALSE,Queenstown,yes,TRUE,0
275,female,63,1,0,77.9583,First,woman,FALSE,Southampton,yes,FALSE,1
276,female,45,0,0,7.75,Third,woman,FALSE,Southampton,no,TRUE,0
277,male,31,0,0,0,Second,man,TRUE,Southampton,no,TRUE,0
278,male,7,4,1,29.125,Third,child,FALSE,Queenstown,no,FALSE,5
279,female,35,1,1,20.25,Third,woman,FALSE,Southampton,yes,FALSE,2
280,male,65,0,0,7.75,Third,man,TRUE,Queenstown,no,TRUE,0
281,male,28,0,0,7.8542,Third,man,TRUE,Southampton,no,TRUE,0
282,male,16,0,0,9.5,Third,man,TRUE,Southampton,no,TRUE,0
283,male,19,0,0,8.05,Third,man,TRUE,Southampton,yes,TRUE,0
284,male,31,0,0,26,First,man,TRUE,Southampton,no,TRUE,0
285,male,33,0,0,8.6625,Third,man,TRUE,Cherbourg,no,TRUE,0
286,male,30,0,0,9.5,Third,man,TRUE,Southampton,yes,TRUE,0
287,male,22,0,0,7.8958,Third,man,TRUE,Southampton,no,TRUE,0
288,male,42,0,0,13,Second,man,TRUE,Southampton,yes,TRUE,0
289,female,22,0,0,7.75,Third,woman,FALSE,Queenstown,yes,TRUE,0
290,female,26,0,0,78.85,First,woman,FALSE,Southampton,yes,TRUE,0
291,female,19,1,0,91.0792,First,woman,FALSE,Cherbourg,yes,FALSE,1
292,male,36,0,0,12.875,Second,man,TRUE,Cherbourg,no,TRUE,0
293,female,24,0,0,8.85,Third,woman,FALSE,Southampton,no,TRUE,0
294,male,24,0,0,7.8958,Third,man,TRUE,Southampton,no,TRUE,0
295,male,31,0,0,27.7208,First,man,TRUE,Cherbourg,no,TRUE,0
296,male,23.5,0,0,7.2292,Third,man,TRUE,Cherbourg,no,TRUE,0
297,female,2,1,2,151.55,First,child,FALSE,Southampton,no,FALSE,3
298,male,31,0,0,30.5,First,man,TRUE,Southampton,yes,TRUE,0
299,female,50,0,1,247.5208,First,woman,FALSE,Cherbourg,yes,FALSE,1
300,female,28,0,0,7.75,Third,woman,FALSE,Queenstown,yes,TRUE,0
301,male,31,2,0,23.25,Third,man,TRUE,Queenstown,yes,FALSE,2
302,male,19,0,0,0,Third,man,TRUE,Southampton,no,TRUE,0
303,female,28,0,0,12.35,Second,woman,FALSE,Queenstown,yes,TRUE,0
304,male,31,0,0,8.05,Third,man,TRUE,Southampton,no,TRUE,0
305,male,0.92,1,2,151.55,First,child,FALSE,Southampton,yes,FALSE,3
306,female,28,0,0,110.8833,First,woman,FALSE,Cherbourg,yes,TRUE,0
307,female,17,1,0,108.9,First,woman,FALSE,Cherbourg,yes,FALSE,1
308,male,30,1,0,24,Second,man,TRUE,Cherbourg,no,FALSE,1
309,female,30,0,0,56.9292,First,woman,FALSE,Cherbourg,yes,TRUE,0
310,female,24,0,0,83.1583,First,woman,FALSE,Cherbourg,yes,TRUE,0
311,female,18,2,2,262.375,First,woman,FALSE,Cherbourg,yes,FALSE,4
312,female,26,1,1,26,Second,woman,FALSE,Southampton,no,FALSE,2
313,male,28,0,0,7.8958,Third,man,TRUE,Southampton,no,TRUE,0
314,male,43,1,1,26.25,Second,man,TRUE,Southampton,no,FALSE,2
315,female,26,0,0,7.8542,Third,woman,FALSE,Southampton,yes,TRUE,0
316,female,24,1,0,26,Second,woman,FALSE,Southampton,yes,FALSE,1
317,male,54,0,0,14,Second,man,TRUE,Southampton,no,TRUE,0
318,female,31,0,2,164.8667,First,woman,FALSE,Southampton,yes,FALSE,2
319,female,40,1,1,134.5,First,woman,FALSE,Cherbourg,yes,FALSE,2
320,male,22,0,0,7.25,Third,man,TRUE,Southampton,no,TRUE,0
321,male,27,0,0,7.8958,Third,man,TRUE,Southampton,no,TRUE,0
322,female,30,0,0,12.35,Second,woman,FALSE,Queenstown,yes,TRUE,0
323,female,22,1,1,29,Second,woman,FALSE,Southampton,yes,FALSE,2
324,male,31,8,2,69.55,Third,man,TRUE,Southampton,no,FALSE,10
325,female,36,0,0,135.6333,First,woman,FALSE,Cherbourg,yes,TRUE,0
326,male,61,0,0,6.2375,Third,man,TRUE,Southampton,no,TRUE,0
327,female,36,0,0,13,Second,woman,FALSE,Southampton,yes,TRUE,0
328,female,31,1,1,20.525,Third,woman,FALSE,Southampton,yes,FALSE,2
329,female,16,0,1,57.9792,First,woman,FALSE,Cherbourg,yes,FALSE,1
330,female,28,2,0,23.25,Third,woman,FALSE,Queenstown,yes,FALSE,2
331,male,45.5,0,0,28.5,First,man,TRUE,Southampton,no,TRUE,0
332,male,38,0,1,153.4625,First,man,TRUE,Southampton,no,FALSE,1
333,male,16,2,0,18,Third,man,TRUE,Southampton,no,FALSE,2
334,female,28,1,0,133.65,First,woman,FALSE,Southampton,yes,FALSE,1
335,male,31,0,0,7.8958,Third,man,TRUE,Southampton,no,TRUE,0
336,male,29,1,0,66.6,First,man,TRUE,Southampton,no,FALSE,1
337,female,41,0,0,134.5,First,woman,FALSE,Cherbourg,yes,TRUE,0
338,male,45,0,0,8.05,Third,man,TRUE,Southampton,yes,TRUE,0
339,male,45,0,0,35.5,First,man,TRUE,Southampton,no,TRUE,0
340,male,2,1,1,26,Second,child,FALSE,Southampton,yes,FALSE,2
341,female,24,3,2,263,First,woman,FALSE,Southampton,yes,FALSE,5
342,male,28,0,0,13,Second,man,TRUE,Southampton,no,TRUE,0
343,male,25,0,0,13,Second,man,TRUE,Southampton,no,TRUE,0
344,male,36,0,0,13,Second,man,TRUE,Southampton,no,TRUE,0
345,female,24,0,0,13,Second,woman,FALSE,Southampton,yes,TRUE,0
346,female,40,0,0,13,Second,woman,FALSE,Southampton,yes,TRUE,0
347,female,28,1,0,16.1,Third,woman,FALSE,Southampton,yes,FALSE,1
348,male,3,1,1,15.9,Third,child,FALSE,Southampton,yes,FALSE,2
349,male,42,0,0,8.6625,Third,man,TRUE,Southampton,no,TRUE,0
350,male,23,0,0,9.225,Third,man,TRUE,Southampton,no,TRUE,0
351,male,31,0,0,35,First,man,TRUE,Southampton,no,TRUE,0
352,male,15,1,1,7.2292,Third,child,FALSE,Cherbourg,no,FALSE,2
353,male,25,1,0,17.8,Third,man,TRUE,Southampton,no,FALSE,1
354,male,31,0,0,7.225,Third,man,TRUE,Cherbourg,no,TRUE,0
355,male,28,0,0,9.5,Third,man,TRUE,Southampton,no,TRUE,0
356,female,22,0,1,55,First,woman,FALSE,Southampton,yes,FALSE,1
